,Alpha_Coherence,Beta_Coherence,Gamma_Coherence,Delta_Coherence,Theta_Coherence,Alpha_Imag_Coherence,Beta_Imag_Coherence,Gamma_Imag_Coherence,Delta_Imag_Coherence,Theta_Imag_Coherence,Alpha_WPLI,Beta_WPLI,Gamma_WPLI,Delta_WPLI,Theta_WPLI,Alpha_WPPC,Beta_WPPC,Gamma_WPPC,Delta_WPPC,Theta_WPPC
0,30.71,29.56,27.73,39.26,36.91,27.67,44.78,32.03,40.2,27.82,36.69,30.99,30.03,33.64,34.59,40.71,30.04,33.41,27.22,36.88
1,24.78,35.74,32.67,34.96,44.84,41.83,35.07,25.05,34.11,26.71,27.93,38.63,29.57,30.81,25.42,24.97,34.08,34.26,39.6,45.35
2,32.38,34.57,41.96,28.16,34.19,34.86,37.76,31.55,38.47,32.66,34.02,40.57,35.03,29.65,34.1,29.24,35.06,38.94,28.87,30.61
3,31.01,38.3,31.37,35.64,32.14,33.39,33.43,38.04,36.13,26.11,30.62,41.23,41.62,37.18,24.87,37.49,37.55,35.45,31.98,30.45
4,40.83,46.01,40.83,40.89,41.54,33.37,41.06,39.25,30.69,34.72,43.77,33.55,39.29,43.79,38.58,39.17,48.08,36.79,39.76,36.2
5,34.88,32.41,32.13,40.08,38.93,24.89,45.01,30.79,38.89,38.85,33.65,38.53,33.39,27.64,34.24,33.0,31.46,32.92,47.12,41.53
6,34.32,28.12,36.57,39.3,39.72,35.92,41.39,33.6,41.28,35.54,37.45,33.47,24.48,37.78,43.49,31.61,30.12,37.84,44.96,36.82
7,44.33,43.16,36.67,41.75,35.3,31.48,39.51,41.52,28.97,30.13,38.52,27.71,35.25,32.89,31.0,36.71,42.01,34.42,40.88,35.36
8,33.73,34.88,29.81,25.32,35.77,40.22,30.99,32.65,26.64,31.56,36.16,33.41,30.56,26.46,27.47,38.2,35.86,28.13,28.85,37.66
9,27.42,31.54,33.78,35.91,36.61,31.47,26.91,36.95,31.56,29.01,29.63,32.14,27.2,32.57,30.6,35.24,34.5,31.36,34.35,41.38
10,37.09,29.2,30.75,35.91,26.05,22.57,31.71,31.7,36.29,28.24,33.8,31.66,33.32,37.86,29.97,34.62,29.39,29.29,25.69,29.73
11,29.47,36.7,28.33,34.1,39.19,38.73,26.44,26.54,40.36,31.94,32.71,33.93,31.38,34.83,28.75,25.93,45.42,30.84,39.68,44.07
12,32.02,40.43,33.27,27.79,23.32,30.63,34.24,39.45,34.7,43.01,38.11,41.85,34.57,38.14,36.48,28.41,37.6,32.97,26.92,23.38
13,37.55,31.36,36.4,39.2,29.12,30.63,28.25,32.59,43.09,30.65,33.68,29.26,37.36,37.43,44.95,33.18,34.21,31.03,32.42,34.2
14,49.39,36.74,36.58,35.94,43.9,30.25,33.85,44.22,27.76,29.99,33.05,44.14,44.11,37.74,33.05,51.73,37.57,41.56,45.3,40.0
15,38.68,38.42,39.79,38.36,38.11,29.29,29.39,27.09,34.54,26.71,37.86,39.45,26.09,40.8,27.9,33.26,35.94,37.99,38.88,37.06
16,23.26,35.81,32.28,24.93,22.92,35.6,31.47,30.66,40.76,28.99,28.8,29.89,27.82,38.85,34.16,24.44,31.04,30.64,25.34,23.67
17,41.88,32.97,32.29,36.52,26.96,35.57,30.01,32.05,29.37,33.28,34.97,30.94,23.94,32.28,32.28,39.61,35.44,36.24,36.85,27.04
18,31.38,31.68,35.28,30.04,27.78,32.84,36.33,23.7,28.39,40.33,40.76,39.04,29.59,31.37,40.05,27.28,30.72,28.91,33.04,30.84
19,27.36,33.3,38.65,34.32,33.43,30.5,31.47,31.12,36.48,33.11,39.34,42.85,35.76,32.56,37.06,28.85,27.09,42.36,31.49,31.51
20,29.93,28.12,30.59,34.2,34.11,30.27,35.02,40.04,39.81,28.06,30.48,37.15,30.92,34.76,33.45,29.28,30.02,30.82,34.61,28.3
21,33.52,30.42,31.27,38.52,35.18,42.24,28.94,37.61,39.5,28.22,26.22,26.92,32.27,29.29,32.43,43.31,28.32,30.29,36.73,37.54
22,41.36,35.69,42.75,30.98,38.8,35.41,37.6,37.58,28.65,35.2,34.85,33.81,34.72,40.09,38.05,29.01,33.19,37.79,33.02,33.96
