,Alpha,Beta,Gamma,Delta,Theta
0,26.33,29.02,34.98,28.84,44.93
1,37.77,39.85,33.11,39.79,44.83
2,31.45,29.8,34.65,28.45,30.09
3,34.77,39.09,34.5,34.72,31.86
4,30.17,48.97,38.95,31.22,38.26
5,29.76,42.06,36.63,43.66,46.95
6,39.4,34.9,35.31,43.34,45.06
7,35.86,40.34,37.47,41.69,38.9
8,39.31,32.54,28.32,30.32,37.81
9,28.3,30.3,27.95,30.56,30.73
10,29.6,28.0,33.04,30.72,28.62
11,37.39,32.44,31.51,35.88,38.06
12,29.3,38.16,36.33,32.76,26.68
13,26.42,28.12,36.13,28.45,31.97
14,31.59,32.4,45.55,33.5,44.89
15,31.59,35.93,34.73,42.15,37.81
16,32.33,35.22,31.87,25.55,24.74
17,39.14,36.26,34.57,35.58,30.28
18,30.49,37.5,35.92,33.3,33.55
19,23.72,30.41,37.44,31.3,33.21
20,28.0,33.87,30.11,38.29,32.5
21,41.86,28.96,28.32,36.05,35.92
22,30.72,35.29,31.56,34.69,31.78
